sale_id,sale_date,store_id,product_id,quantity,unit_price,unit_cost,revenue,cogs,gross_profit,loadshed_stage,loadshed_hours,was_loadshedding,loadshed_severity,sale_year,sale_month,sale_month_name,sale_day_of_week,is_weekend
TXN000043,2023-01-01,S002,P007,1,84.99,55.0,84.99,55.0,29.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000044,2023-01-01,S003,P008,3,69.99,45.0,209.97,135.0,74.97,3,6,True,Medium,2023,1,January,Sunday,1
TXN000045,2023-01-01,S004,P010,1,32.99,20.0,32.99,20.0,12.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000046,2023-01-01,S005,P006,4,44.99,28.0,179.96,112.0,67.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000047,2023-01-01,S004,P006,5,44.99,28.0,224.95,140.0,84.95,3,6,True,Medium,2023,1,January,Sunday,1
TXN000048,2023-01-01,S005,P001,1,22.99,14.99,22.99,14.99,8.0,3,6,True,Medium,2023,1,January,Sunday,1
TXN000049,2023-01-01,S003,P004,2,54.99,38.0,109.98,76.0,33.98,3,6,True,Medium,2023,1,January,Sunday,1
TXN000050,2023-01-01,S004,P002,1,32.99,22.0,32.99,22.0,10.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000051,2023-01-01,S004,P002,2,32.99,22.0,65.98,44.0,21.98,3,6,True,Medium,2023,1,January,Sunday,1
TXN000052,2023-01-01,S001,P005,1,62.99,42.0,62.99,42.0,20.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000053,2023-01-01,S001,P006,3,44.99,28.0,134.97,84.0,50.97,3,6,True,Medium,2023,1,January,Sunday,1
TXN000054,2023-01-01,S003,P006,4,44.99,28.0,179.96,112.0,67.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000055,2023-01-01,S002,P003,5,99.99,65.0,499.95,325.0,174.95,3,6,True,Medium,2023,1,January,Sunday,1
TXN000056,2023-01-02,S002,P010,2,32.99,20.0,65.98,40.0,25.98,3,6,True,Medium,2023,1,January,Monday,0
TXN000057,2023-01-02,S001,P003,5,99.99,65.0,499.95,325.0,174.95,3,6,True,Medium,2023,1,January,Monday,0
TXN000058,2023-01-02,S005,P007,2,84.99,55.0,169.98,110.0,59.98,3,6,True,Medium,2023,1,January,Monday,0
TXN000059,2023-01-02,S005,P008,2,69.99,45.0,139.98,90.0,49.98,3,6,True,Medium,2023,1,January,Monday,0
TXN000060,2023-01-02,S004,P004,3,54.99,38.0,164.97,114.0,50.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000061,2023-01-02,S003,P008,1,69.99,45.0,69.99,45.0,24.99,3,6,True,Medium,2023,1,January,Monday,0
TXN000062,2023-01-02,S003,P008,5,69.99,45.0,349.95,225.0,124.95,3,6,True,Medium,2023,1,January,Monday,0
TXN000063,2023-01-02,S001,P003,4,99.99,65.0,399.96,260.0,139.96,3,6,True,Medium,2023,1,January,Monday,0
TXN000064,2023-01-02,S005,P006,3,44.99,28.0,134.97,84.0,50.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000065,2023-01-02,S003,P007,4,84.99,55.0,339.96,220.0,119.96,3,6,True,Medium,2023,1,January,Monday,0
TXN000066,2023-01-02,S002,P005,4,62.99,42.0,251.96,168.0,83.96,3,6,True,Medium,2023,1,January,Monday,0
TXN000067,2023-01-02,S001,P008,2,69.99,45.0,139.98,90.0,49.98,3,6,True,Medium,2023,1,January,Monday,0
TXN000068,2023-01-02,S005,P007,3,84.99,55.0,254.97,165.0,89.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000069,2023-01-02,S003,P010,3,32.99,20.0,98.97,60.0,38.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000070,2023-01-02,S004,P001,3,22.99,14.99,68.97,44.97,24.0,3,6,True,Medium,2023,1,January,Monday,0
TXN000071,2023-01-02,S005,P001,1,22.99,14.99,22.99,14.99,8.0,3,6,True,Medium,2023,1,January,Monday,0
TXN000072,2023-01-02,S004,P010,3,32.99,20.0,98.97,60.0,38.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000073,2023-01-02,S005,P004,3,54.99,38.0,164.97,114.0,50.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000074,2023-01-02,S002,P004,5,54.99,38.0,274.95,190.0,84.95,3,6,True,Medium,2023,1,January,Monday,0
TXN000075,2023-01-02,S002,P005,1,62.99,42.0,62.99,42.0,20.99,3,6,True,Medium,2023,1,January,Monday,0
TXN000076,2023-01-02,S003,P001,4,22.99,14.99,91.96,59.96,32.0,3,6,True,Medium,2023,1,January,Monday,0
TXN000077,2023-01-02,S005,P001,3,22.99,14.99,68.97,44.97,24.0,3,6,True,Medium,2023,1,January,Monday,0
TXN000078,2023-01-02,S001,P003,3,99.99,65.0,299.97,195.0,104.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000079,2023-01-02,S004,P006,2,44.99,28.0,89.98,56.0,33.98,3,6,True,Medium,2023,1,January,Monday,0
TXN000080,2023-01-02,S002,P004,5,54.99,38.0,274.95,190.0,84.95,3,6,True,Medium,2023,1,January,Monday,0
TXN000081,2023-01-02,S005,P006,5,44.99,28.0,224.95,140.0,84.95,3,6,True,Medium,2023,1,January,Monday,0
TXN000082,2023-01-02,S002,P005,3,62.99,42.0,188.97,126.0,62.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000083,2023-01-02,S003,P008,3,69.99,45.0,209.97,135.0,74.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000084,2023-01-02,S004,P002,1,32.99,22.0,32.99,22.0,10.99,3,6,True,Medium,2023,1,January,Monday,0
TXN000085,2023-01-02,S002,P003,4,99.99,65.0,399.96,260.0,139.96,3,6,True,Medium,2023,1,January,Monday,0
TXN000086,2023-01-02,S003,P009,1,29.99,18.0,29.99,18.0,11.99,3,6,True,Medium,2023,1,January,Monday,0
TXN000087,2023-01-02,S001,P007,3,84.99,55.0,254.97,165.0,89.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000088,2023-01-02,S001,P009,4,29.99,18.0,119.96,72.0,47.96,3,6,True,Medium,2023,1,January,Monday,0
TXN000089,2023-01-02,S003,P006,5,44.99,28.0,224.95,140.0,84.95,3,6,True,Medium,2023,1,January,Monday,0
TXN000090,2023-01-02,S003,P007,1,84.99,55.0,84.99,55.0,29.99,3,6,True,Medium,2023,1,January,Monday,0
TXN000091,2023-01-02,S004,P004,1,54.99,38.0,54.99,38.0,16.99,3,6,True,Medium,2023,1,January,Monday,0
TXN000092,2023-01-02,S005,P010,3,32.99,20.0,98.97,60.0,38.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000093,2023-01-02,S002,P010,1,32.99,20.0,32.99,20.0,12.99,3,6,True,Medium,2023,1,January,Monday,0
TXN000094,2023-01-02,S003,P008,4,69.99,45.0,279.96,180.0,99.96,3,6,True,Medium,2023,1,January,Monday,0
TXN000095,2023-01-02,S002,P002,1,32.99,22.0,32.99,22.0,10.99,3,6,True,Medium,2023,1,January,Monday,0
TXN000096,2023-01-02,S003,P001,4,22.99,14.99,91.96,59.96,32.0,3,6,True,Medium,2023,1,January,Monday,0
TXN000097,2023-01-02,S001,P002,2,32.99,22.0,65.98,44.0,21.98,3,6,True,Medium,2023,1,January,Monday,0
TXN000098,2023-01-02,S002,P009,4,29.99,18.0,119.96,72.0,47.96,3,6,True,Medium,2023,1,January,Monday,0
TXN000099,2023-01-02,S003,P008,5,69.99,45.0,349.95,225.0,124.95,3,6,True,Medium,2023,1,January,Monday,0
TXN000100,2023-01-02,S005,P007,2,84.99,55.0,169.98,110.0,59.98,3,6,True,Medium,2023,1,January,Monday,0
TXN000101,2023-01-02,S001,P007,4,84.99,55.0,339.96,220.0,119.96,3,6,True,Medium,2023,1,January,Monday,0
TXN000102,2023-01-02,S004,P010,3,32.99,20.0,98.97,60.0,38.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000103,2023-01-02,S003,P001,2,22.99,14.99,45.98,29.98,16.0,3,6,True,Medium,2023,1,January,Monday,0
TXN000104,2023-01-02,S004,P008,2,69.99,45.0,139.98,90.0,49.98,3,6,True,Medium,2023,1,January,Monday,0
TXN000105,2023-01-02,S001,P006,3,44.99,28.0,134.97,84.0,50.97,3,6,True,Medium,2023,1,January,Monday,0
TXN000106,2023-01-03,S001,P006,4,44.99,28.0,179.96,112.0,67.96,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000107,2023-01-03,S002,P005,1,62.99,42.0,62.99,42.0,20.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000108,2023-01-03,S001,P008,2,69.99,45.0,139.98,90.0,49.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000109,2023-01-03,S001,P010,1,32.99,20.0,32.99,20.0,12.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000110,2023-01-03,S002,P006,2,44.99,28.0,89.98,56.0,33.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000111,2023-01-03,S002,P010,1,32.99,20.0,32.99,20.0,12.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000112,2023-01-03,S002,P009,5,29.99,18.0,149.95,90.0,59.95,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000113,2023-01-03,S002,P004,3,54.99,38.0,164.97,114.0,50.97,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000114,2023-01-03,S005,P003,1,99.99,65.0,99.99,65.0,34.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000115,2023-01-03,S002,P005,2,62.99,42.0,125.98,84.0,41.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000116,2023-01-03,S003,P009,2,29.99,18.0,59.98,36.0,23.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000117,2023-01-03,S001,P002,2,32.99,22.0,65.98,44.0,21.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000118,2023-01-03,S003,P001,2,22.99,14.99,45.98,29.98,16.0,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000119,2023-01-03,S003,P010,1,32.99,20.0,32.99,20.0,12.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000120,2023-01-03,S003,P003,1,99.99,65.0,99.99,65.0,34.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000121,2023-01-03,S004,P003,5,99.99,65.0,499.95,325.0,174.95,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000122,2023-01-03,S001,P002,4,32.99,22.0,131.96,88.0,43.96,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000123,2023-01-03,S003,P008,5,69.99,45.0,349.95,225.0,124.95,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000124,2023-01-03,S001,P010,4,32.99,20.0,131.96,80.0,51.96,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000125,2023-01-03,S002,P009,5,29.99,18.0,149.95,90.0,59.95,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000126,2023-01-03,S005,P001,3,22.99,14.99,68.97,44.97,24.0,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000127,2023-01-03,S001,P008,1,69.99,45.0,69.99,45.0,24.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000128,2023-01-03,S004,P008,4,69.99,45.0,279.96,180.0,99.96,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000129,2023-01-03,S004,P002,4,32.99,22.0,131.96,88.0,43.96,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000130,2023-01-03,S001,P002,3,32.99,22.0,98.97,66.0,32.97,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000131,2023-01-03,S002,P010,1,32.99,20.0,32.99,20.0,12.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000132,2023-01-03,S003,P003,5,99.99,65.0,499.95,325.0,174.95,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000133,2023-01-03,S005,P010,3,32.99,20.0,98.97,60.0,38.97,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000134,2023-01-03,S005,P007,5,84.99,55.0,424.95,275.0,149.95,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000135,2023-01-03,S004,P005,5,62.99,42.0,314.95,210.0,104.95,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000136,2023-01-03,S004,P010,1,32.99,20.0,32.99,20.0,12.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000137,2023-01-03,S005,P002,2,32.99,22.0,65.98,44.0,21.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000138,2023-01-03,S004,P007,2,84.99,55.0,169.98,110.0,59.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000139,2023-01-03,S003,P007,4,84.99,55.0,339.96,220.0,119.96,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000140,2023-01-03,S004,P007,1,84.99,55.0,84.99,55.0,29.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000141,2023-01-03,S004,P006,3,44.99,28.0,134.97,84.0,50.97,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000142,2023-01-03,S003,P005,2,62.99,42.0,125.98,84.0,41.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000143,2023-01-03,S001,P008,1,69.99,45.0,69.99,45.0,24.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000144,2023-01-03,S001,P002,4,32.99,22.0,131.96,88.0,43.96,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000145,2023-01-03,S003,P002,2,32.99,22.0,65.98,44.0,21.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000146,2023-01-03,S001,P009,5,29.99,18.0,149.95,90.0,59.95,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000147,2023-01-03,S005,P009,3,29.99,18.0,89.97,54.0,35.97,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000148,2023-01-03,S004,P002,3,32.99,22.0,98.97,66.0,32.97,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000149,2023-01-03,S001,P007,3,84.99,55.0,254.97,165.0,89.97,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000150,2023-01-03,S003,P010,3,32.99,20.0,98.97,60.0,38.97,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000151,2023-01-03,S005,P002,5,32.99,22.0,164.95,110.0,54.95,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000152,2023-01-03,S002,P004,4,54.99,38.0,219.96,152.0,67.96,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000153,2023-01-03,S001,P004,3,54.99,38.0,164.97,114.0,50.97,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000154,2023-01-03,S003,P009,1,29.99,18.0,29.99,18.0,11.99,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000155,2023-01-03,S005,P005,2,62.99,42.0,125.98,84.0,41.98,4,8,True,Medium,2023,1,January,Tuesday,0
TXN000156,2023-01-04,S005,P009,5,29.99,18.0,149.95,90.0,59.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000157,2023-01-04,S001,P009,5,29.99,18.0,149.95,90.0,59.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000158,2023-01-04,S001,P005,2,62.99,42.0,125.98,84.0,41.98,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000159,2023-01-04,S003,P005,3,62.99,42.0,188.97,126.0,62.97,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000160,2023-01-04,S001,P006,2,44.99,28.0,89.98,56.0,33.98,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000161,2023-01-04,S005,P003,4,99.99,65.0,399.96,260.0,139.96,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000162,2023-01-04,S002,P002,1,32.99,22.0,32.99,22.0,10.99,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000163,2023-01-04,S005,P002,2,32.99,22.0,65.98,44.0,21.98,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000164,2023-01-04,S004,P007,4,84.99,55.0,339.96,220.0,119.96,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000165,2023-01-04,S002,P006,3,44.99,28.0,134.97,84.0,50.97,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000166,2023-01-04,S003,P005,5,62.99,42.0,314.95,210.0,104.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000167,2023-01-04,S001,P010,1,32.99,20.0,32.99,20.0,12.99,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000168,2023-01-04,S002,P003,5,99.99,65.0,499.95,325.0,174.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000169,2023-01-04,S001,P001,3,22.99,14.99,68.97,44.97,24.0,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000170,2023-01-04,S004,P008,4,69.99,45.0,279.96,180.0,99.96,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000171,2023-01-04,S004,P010,4,32.99,20.0,131.96,80.0,51.96,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000172,2023-01-04,S002,P005,5,62.99,42.0,314.95,210.0,104.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000173,2023-01-04,S003,P002,4,32.99,22.0,131.96,88.0,43.96,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000174,2023-01-04,S003,P002,5,32.99,22.0,164.95,110.0,54.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000175,2023-01-04,S005,P008,3,69.99,45.0,209.97,135.0,74.97,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000176,2023-01-04,S002,P001,4,22.99,14.99,91.96,59.96,32.0,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000177,2023-01-04,S001,P010,1,32.99,20.0,32.99,20.0,12.99,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000178,2023-01-04,S003,P004,2,54.99,38.0,109.98,76.0,33.98,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000179,2023-01-04,S003,P003,3,99.99,65.0,299.97,195.0,104.97,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000180,2023-01-04,S001,P006,1,44.99,28.0,44.99,28.0,16.99,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000181,2023-01-04,S004,P008,2,69.99,45.0,139.98,90.0,49.98,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000182,2023-01-04,S004,P003,5,99.99,65.0,499.95,325.0,174.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000183,2023-01-04,S005,P004,5,54.99,38.0,274.95,190.0,84.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000184,2023-01-04,S001,P006,4,44.99,28.0,179.96,112.0,67.96,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000185,2023-01-04,S004,P001,1,22.99,14.99,22.99,14.99,8.0,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000186,2023-01-04,S001,P008,3,69.99,45.0,209.97,135.0,74.97,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000187,2023-01-04,S004,P010,5,32.99,20.0,164.95,100.0,64.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000188,2023-01-04,S004,P007,3,84.99,55.0,254.97,165.0,89.97,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000189,2023-01-04,S004,P002,1,32.99,22.0,32.99,22.0,10.99,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000190,2023-01-04,S002,P006,5,44.99,28.0,224.95,140.0,84.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000191,2023-01-04,S003,P008,1,69.99,45.0,69.99,45.0,24.99,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000192,2023-01-04,S001,P007,2,84.99,55.0,169.98,110.0,59.98,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000193,2023-01-04,S005,P007,4,84.99,55.0,339.96,220.0,119.96,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000194,2023-01-04,S001,P009,4,29.99,18.0,119.96,72.0,47.96,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000195,2023-01-04,S003,P005,2,62.99,42.0,125.98,84.0,41.98,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000196,2023-01-04,S002,P006,1,44.99,28.0,44.99,28.0,16.99,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000197,2023-01-04,S001,P009,5,29.99,18.0,149.95,90.0,59.95,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000198,2023-01-04,S002,P009,3,29.99,18.0,89.97,54.0,35.97,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000199,2023-01-04,S002,P006,2,44.99,28.0,89.98,56.0,33.98,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000200,2023-01-04,S002,P002,3,32.99,22.0,98.97,66.0,32.97,4,8,True,Medium,2023,1,January,Wednesday,0
TXN000201,2023-01-05,S005,P003,2,99.99,65.0,199.98,130.0,69.98,4,8,True,Medium,2023,1,January,Thursday,0
TXN000202,2023-01-05,S002,P002,4,32.99,22.0,131.96,88.0,43.96,4,8,True,Medium,2023,1,January,Thursday,0
TXN000203,2023-01-05,S005,P008,5,69.99,45.0,349.95,225.0,124.95,4,8,True,Medium,2023,1,January,Thursday,0
TXN000204,2023-01-05,S005,P008,5,69.99,45.0,349.95,225.0,124.95,4,8,True,Medium,2023,1,January,Thursday,0
TXN000205,2023-01-05,S003,P006,2,44.99,28.0,89.98,56.0,33.98,4,8,True,Medium,2023,1,January,Thursday,0
TXN000206,2023-01-05,S001,P008,4,69.99,45.0,279.96,180.0,99.96,4,8,True,Medium,2023,1,January,Thursday,0
TXN000207,2023-01-05,S003,P008,3,69.99,45.0,209.97,135.0,74.97,4,8,True,Medium,2023,1,January,Thursday,0
TXN000208,2023-01-05,S001,P010,3,32.99,20.0,98.97,60.0,38.97,4,8,True,Medium,2023,1,January,Thursday,0
TXN000209,2023-01-05,S001,P009,3,29.99,18.0,89.97,54.0,35.97,4,8,True,Medium,2023,1,January,Thursday,0
TXN000210,2023-01-05,S004,P008,1,69.99,45.0,69.99,45.0,24.99,4,8,True,Medium,2023,1,January,Thursday,0
TXN000211,2023-01-05,S003,P001,3,22.99,14.99,68.97,44.97,24.0,4,8,True,Medium,2023,1,January,Thursday,0
